case_id,source,gender,ethnic_group,education_level,business_location,income_level,business_type,BPRAC_01_recordkeeping,BPRAC_02_pricing_strategy,BPRAC_03_inventory_mgmt,BPRAC_04_marketing_plan,BPRAC_05_supplier_relations,BPRAC_06_quality_control,BPRAC_score,FIN_01_bank_account,FIN_02_mobile_money,FIN_03_business_loan_access,FIN_04_collateral_available,FIN_05_credit_history,FIN_06_mfi_membership,FIN_07_savings_buffer,FIN_08_insurance_cover,FIN_09_formal_registration,FIN_10_tax_id,FIN_11_invoice_use,FIN_12_grant_access,FIN_13_investor_contact,FIN_14_digital_payments,FIN_score,ENVO_01_local_demand,ENVO_02_road_access,ENVO_03_electricity,ENVO_04_internet_quality,ENVO_05_logistics_delivery,ENVO_06_competitor_density,ENVO_07_govt_service_access,ENVO_08_market_distance,ENVO_09_supplier_proximity,ENVO_score,EPSY_01_risk_tolerance,EPSY_02_need_achievement,EPSY_03_innovativeness,EPSY_04_self_efficacy,EPSY_05_locus_control,EPSY_06_persistence,EPSY_07_opportunity_alertness,EPSY_08_autonomy_pref,EPSY_09_proactiveness,EPSY_10_tolerance_ambiguity,EPSY_11_goal_orientation,EPSY_12_resilience,EPSY_13_creativity,EPSY_14_leadership,EPSY_15_networking_drive,EPSY_16_learning_orientation,EPSY_17_competitiveness,EPSY_18_optimism,EPSY_19_decisiveness,EPSY_20_stress_tolerance,EPSY_21_vision,EPSY_22_adaptability,EPSY_score,BEASE_01_registration_ease,BEASE_02_license_time,BEASE_03_tax_simplicity,BEASE_04_permit_access,BEASE_05_digital_govt_services,BEASE_06_compliance_burden_low,BEASE_07_property_rights,BEASE_08_contract_enforcement,BEASE_09_customs_ease,BEASE_10_utility_connection_ease,BEASE_11_credit_info_access,BEASE_12_investor_protection,BEASE_13_trade_license_renewal,BEASE_14_one_stop_service,BEASE_15_regulatory_clarity,BEASE_score,BPRAC_fz,FIN_fz,ENVO_fz,EPSY_fz,BEASE_fz,GROWTH_monthly_revenue_usd,GROWTH_growth_rate_selfrep,GROWTH_page_analytics_idx,GROWTH_score,GROWTH_fz,GROWTH_binary
IP_050,IP,Male,Chakma,Graduate/Postgraduate,Khagrachhari,Middle,Apparel and Cosmetics,3,3,5,2,4,4,0.622,3,3,5,3,2,4,3,3,3,3,3,5,4,4,0.618,4,2,2,3,2,1,3,2,2,0.343,2,3,3,3,3,3,2,1,3,4,5,5,3,4,3,4,2,3,4,3,2,3,0.528,5,3,3,4,4,4,3,4,4,3,3,3,4,4,4,0.672,0.754,0.661,0.207,0.319,0.844,4653,51.2,88.0,0.964,0.987,1
IP_051,IP,Female,Marma,Graduate/Postgraduate,Rangamati,Middle,Apparel and Cosmetics,3,1,2,1,3,1,0.23,3,4,3,3,3,4,3,4,5,3,3,3,3,3,0.643,1,2,2,2,2,1,1,1,3,0.179,2,2,1,2,2,1,3,3,2,3,1,2,1,4,1,3,2,1,2,3,3,3,0.306,3,4,4,3,3,4,4,3,5,4,2,3,4,4,4,0.669,0.077,0.714,0.05,0.043,0.84,4652,49.9,108.1,0.98,0.989,1
IP_052,IP,Female,Marma,Graduate/Postgraduate,Khagrachhari,Middle,Food and Agriculture,4,3,3,4,5,3,0.617,1,2,3,3,4,2,4,4,4,3,2,3,1,4,0.483,3,4,3,3,3,2,4,3,3,0.533,4,5,4,3,4,4,5,3,2,3,4,4,2,5,4,3,1,4,4,4,3,3,0.647,2,3,3,4,4,3,2,2,3,3,2,3,2,4,2,0.448,0.746,0.341,0.627,0.621,0.375,956,33.1,43.5,0.384,0.365,0
IP_053,IP,Male,Chakma,Graduate/Postgraduate,Bandarban,Middle,Apparel and Cosmetics,2,1,1,1,1,1,0.066,3,4,3,2,2,2,4,2,3,4,5,3,1,3,0.501,2,4,1,1,2,1,3,1,2,0.183,1,1,1,2,1,2,1,1,3,2,3,1,2,3,1,1,2,2,1,3,3,1,0.188,3,2,3,3,3,3,3,1,3,1,4,2,2,4,3,0.413,0.018,0.382,0.051,0.013,0.299,1184,34.1,38.8,0.386,0.369,0
IP_054,IP,Female,Chakma,Higher Secondary,Rangamati,Lower,Apparel and Cosmetics,1,1,2,1,1,1,0.037,1,1,1,2,1,1,1,3,2,1,2,2,2,2,0.131,2,1,1,3,2,2,1,1,1,0.12,2,1,2,1,2,2,3,1,2,2,1,1,2,2,2,1,3,1,1,1,1,1,0.129,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,0.098,0.014,0.016,0.028,0.007,0.019,439,12.3,13.4,0.028,0.028,0
IP_055,IP,Female,Chakma,Secondary,Bandarban,Middle,Education,2,3,3,2,1,2,0.265,4,3,2,2,2,3,2,2,3,3,3,3,4,2,0.418,2,1,1,2,1,2,1,1,1,0.066,3,3,1,2,1,2,2,1,2,3,1,4,2,2,1,2,1,1,3,2,3,3,0.268,2,4,2,2,3,2,3,3,3,4,2,2,4,1,3,0.401,0.103,0.215,0.017,0.03,0.275,1223,33.8,36.6,0.417,0.431,0
IP_056,IP,Female,Marma,Secondary,Dhaka,High,Apparel and Cosmetics,3,3,3,4,4,2,0.546,3,4,5,5,4,4,4,4,4,2,4,3,5,3,0.724,4,3,3,2,4,4,3,3,4,0.603,3,2,3,2,4,5,5,4,3,5,5,3,4,4,4,3,2,3,5,2,3,4,0.685,3,4,4,3,3,2,4,5,4,4,5,4,2,4,4,0.638,0.604,0.847,0.77,0.71,0.795,3348,63.9,89.5,0.864,0.97,1
IP_057,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,High,Apparel and Cosmetics,3,3,3,2,2,3,0.377,5,3,5,5,4,4,3,5,5,5,5,5,4,5,0.868,4,4,3,5,3,3,3,5,5,0.745,3,4,4,3,3,2,2,4,3,3,3,5,2,3,4,3,4,3,4,5,3,2,0.594,5,5,3,4,3,5,4,5,5,5,5,4,4,4,5,0.861,0.244,0.958,0.931,0.484,0.972,2324,39.7,67.3,0.697,0.889,1
IP_058,IP,Female,Chakma,Higher Secondary,Bandarban,Lower,Food and Agriculture,3,4,3,3,3,1,0.457,4,2,3,5,3,3,3,4,4,4,2,2,3,4,0.585,2,2,1,1,2,2,1,1,3,0.157,3,2,3,2,2,3,1,3,2,2,1,4,2,1,3,3,3,3,2,2,3,1,0.323,3,4,4,3,3,3,4,3,2,4,3,4,3,4,3,0.601,0.402,0.585,0.04,0.052,0.729,2097,40.2,68.2,0.639,0.831,1
IP_059,IP,Female,Chakma,Secondary,Bandarban,Middle,Apparel and Cosmetics,1,3,3,2,2,1,0.243,2,4,4,2,3,3,2,4,2,4,3,3,3,4,0.549,2,1,1,1,3,1,1,2,1,0.097,1,1,1,2,1,2,2,4,1,1,3,1,1,1,1,1,1,2,3,2,1,1,0.131,3,2,4,3,3,3,3,2,3,1,4,2,2,4,3,0.455,0.086,0.498,0.023,0.007,0.391,851,24.6,49.3,0.402,0.4,0
IP_060,IP,Male,Chakma,Higher Secondary,Khagrachhari,Lower,Education,4,3,5,4,4,5,0.788,2,2,2,4,3,2,4,4,4,2,4,3,3,3,0.493,4,3,2,1,2,3,2,2,2,0.357,5,2,3,2,3,4,3,3,4,3,2,2,3,2,2,3,2,3,3,4,2,3,0.456,3,1,2,3,4,4,3,2,3,3,3,2,3,3,3,0.45,0.934,0.364,0.23,0.18,0.38,2908,50.6,76.1,0.776,0.939,1
IP_061,IP,Female,Marma,Secondary,Khagrachhari,Middle,Apparel and Cosmetics,4,3,2,3,3,1,0.401,3,3,2,1,1,1,3,1,2,2,1,2,1,4,0.219,2,2,3,2,3,2,4,2,1,0.342,2,1,3,1,2,2,1,2,2,3,2,3,1,1,2,2,3,3,2,2,2,3,0.272,2,2,3,2,2,3,2,1,2,1,2,1,2,1,3,0.216,0.287,0.037,0.205,0.031,0.058,678,20.8,24.0,0.182,0.095,0
IP_062,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Middle,Apparel and Cosmetics,2,2,4,1,3,3,0.391,5,2,3,5,4,4,2,1,3,5,3,4,2,2,0.548,5,3,5,1,2,4,3,4,5,0.658,3,2,3,5,3,3,1,3,1,2,1,4,3,3,3,3,4,2,3,4,2,2,0.445,2,3,3,4,3,3,3,4,5,2,3,3,2,4,3,0.531,0.268,0.495,0.852,0.164,0.575,1816,40.6,52.0,0.595,0.772,1
IP_063,IP,Male,Tripura,Graduate/Postgraduate,Other (inside BD),Lower,Apparel and Cosmetics,4,2,4,1,4,3,0.491,4,1,1,2,5,2,3,2,2,3,4,3,3,3,0.42,3,2,5,4,3,4,2,5,2,0.574,3,3,4,4,4,3,3,3,4,4,2,2,4,3,3,3,3,2,5,5,4,3,0.55,2,2,1,2,2,2,3,4,2,3,3,3,3,3,4,0.439,0.479,0.218,0.716,0.371,0.355,1110,21.0,45.0,0.433,0.464,0
IP_064,IP,Female,Chakma,Graduate/Postgraduate,Rangamati,High,Food and Agriculture,4,2,3,3,3,2,0.442,1,3,3,3,3,4,2,4,4,3,3,3,3,3,0.51,4,3,3,3,2,3,4,2,2,0.461,2,3,1,4,1,1,3,2,3,3,3,1,2,4,4,5,3,4,2,3,2,2,0.4,4,3,3,3,3,2,4,4,3,3,4,4,4,2,3,0.556,0.37,0.403,0.454,0.109,0.634,1837,29.4,56.7,0.609,0.792,1
IP_065,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Middle,Food and Agriculture,3,3,4,2,1,2,0.384,4,4,2,2,1,4,3,4,5,5,3,4,5,3,0.634,3,3,3,4,2,3,4,3,2,0.518,2,4,3,3,4,4,2,2,1,2,4,4,3,4,3,3,2,2,3,2,3,1,0.438,2,4,4,3,3,4,3,3,3,3,3,2,2,5,1,0.517,0.256,0.695,0.592,0.154,0.542,1976,44.8,72.4,0.657,0.851,1
IP_066,IP,Female,Marma,Graduate/Postgraduate,Khagrachhari,High,Education,1,2,2,2,4,2,0.307,2,3,2,4,2,2,2,3,3,1,2,2,3,3,0.351,3,1,1,1,1,2,2,1,1,0.123,3,3,3,2,3,3,1,2,1,2,1,2,2,1,2,3,1,3,2,2,3,1,0.274,3,3,2,3,3,1,3,2,4,2,3,2,3,1,3,0.41,0.145,0.124,0.029,0.031,0.292,678,11.3,24.1,0.199,0.108,0
IP_067,IP,Male,Chakma,Graduate/Postgraduate,Rangamati,Middle,Apparel and Cosmetics,4,1,2,2,4,2,0.385,4,2,1,3,2,1,2,4,2,2,4,3,2,3,0.393,4,3,2,4,3,2,1,3,2,0.414,2,3,1,2,1,3,3,3,3,5,3,2,2,1,2,2,1,3,2,5,2,2,0.366,3,2,1,1,2,2,3,3,1,3,3,2,3,2,4,0.339,0.258,0.176,0.343,0.079,0.171,805,23.6,42.7,0.338,0.28,0
